Date,Open,High,Low,Close,Adj Close,Volume
9/25/2019,48.73,49.540001,48.650002,49.259998,48.793034,21313100
9/26/2019,49.25,49.369999,48.82,48.869999,48.406731,19984000
9/27/2019,50.400002,51.41,50.25,50.709999,50.22929,59467400
9/30/2019,50.77,50.849998,50.060001,50.439999,49.961849,26897100
10/1/2019,50.650002,50.779999,49,49.060001,48.594933,27249300
10/2/2019,48.720001,49.040001,48.369999,48.470001,48.010525,23515900
10/3/2019,48.299999,48.509998,47.32,48.48,48.020428,20212200
10/4/2019,48.66,49.25,48.529999,49.209999,48.743507,15779500
10/7/2019,48.950001,49.290001,48.75,48.810001,48.347301,15691900
10/8/2019,48.25,48.349998,47.540001,47.82,47.366688,19734000
10/9/2019,48.169998,48.419998,48.080002,48.150002,47.693558,13467800
10/10/2019,48.330002,49.07,48.16,48.650002,48.18882,18267800
10/11/2019,49.459999,49.919998,49.150002,49.209999,48.743507,23024600
10/14/2019,49.09,49.450001,48.98,49.27,48.80294,16870500
10/15/2019,49.279999,51.25,48.779999,50.110001,49.634979,38478400
