Date,Open,High,Low,Close,Adj Close,Volume
10/9/2019,115.849998,116.739998,115.580002,116.050003,116.050003,1061600
10/10/2019,114.959999,116.160004,114.559998,115.25,115.25,1062100
10/11/2019,125.720001,127.900002,125.470001,126.199997,126.199997,2234300
10/14/2019,125.940002,126.559998,125.739998,126.050003,126.050003,877700
10/15/2019,125.830002,127.889999,125.470001,127.18,127.18,830900
10/16/2019,128.850006,129.279999,128.470001,128.720001,128.720001,1091500
10/17/2019,129.949997,130.119995,128.350006,128.600006,128.600006,972200
10/18/2019,129.779999,129.960007,127.949997,129.130005,129.130005,1655800
10/21/2019,132.979996,133.320007,131.270004,132.710007,132.710007,1210500
10/22/2019,133.309998,133.979996,131.580002,131.800003,131.800003,1092200
10/23/2019,130.910004,131.839996,130.860001,131.660004,131.660004,709100
10/24/2019,131.470001,132.179993,131.389999,131.789993,131.789993,809400
10/25/2019,131.350006,132.229996,130.949997,131.869995,131.869995,569200
