Date,Open,High,Low,Close,Adj Close,Volume
2019-09-20,49.070000,49.299999,48.610001,48.630001,48.169010,30229400
2019-09-23,48.320000,49.090000,48.310001,48.959999,48.495880,20603400
2019-09-24,48.980000,49.220001,48.470001,48.650002,48.188820,21629300
2019-09-25,48.730000,49.540001,48.650002,49.259998,48.793034,21313100
2019-09-26,49.250000,49.369999,48.820000,48.869999,48.406731,19984000
2019-09-27,50.400002,51.410000,50.250000,50.709999,50.229290,59467400
2019-09-30,50.770000,50.849998,50.060001,50.439999,49.961849,26897100
2019-10-01,50.650002,50.779999,49.000000,49.060001,48.594933,27249300
2019-10-02,48.720001,49.040001,48.369999,48.470001,48.010525,23515900
2019-10-03,48.299999,48.509998,47.320000,48.480000,48.020428,20212200
2019-10-04,48.660000,49.250000,48.529999,49.209999,48.743507,15779500
2019-10-07,48.950001,49.290001,48.750000,48.810001,48.347301,15691900
2019-10-08,48.250000,48.349998,47.540001,47.820000,47.366688,19734000
2019-10-09,48.169998,48.419998,48.080002,48.150002,47.693558,13467800
2019-10-10,48.330002,49.070000,48.160000,48.650002,48.188820,18267800
2019-10-11,49.459999,49.919998,49.150002,49.209999,48.743507,23024600
2019-10-14,49.090000,49.450001,48.980000,49.270000,48.802940,16870500
2019-10-15,49.279999,51.250000,48.779999,50.110001,49.634979,38478400
2019-10-16,50.040001,50.279999,49.450001,49.590000,49.119907,23728400
2019-10-17,49.980000,50.169998,49.480000,49.610001,49.139717,20560100
2019-10-18,49.340000,50.220001,49.320000,49.970001,49.496307,21199500
2019-10-21,50.279999,50.500000,50.180000,50.459999,49.981659,19409100
2019-10-22,50.439999,51.020000,50.230000,50.619999,50.140144,18526900
2019-10-23,50.720001,50.970001,50.570000,50.930000,50.447205,14173700
2019-10-24,50.660000,51.200001,50.660000,51.099998,50.615593,16695400
2019-10-25,51.080002,51.730000,51.000000,51.570000,51.081139,17433300
