Date,Open,High,Low,Close,Adj Close,Volume
2019-10-03,114.050003,115.269997,112.889999,115.110001,115.110001,505500
2019-10-04,114.980003,115.410004,114.430000,115.370003,115.370003,803700
2019-10-07,114.070000,115.050003,114.070000,114.529999,114.529999,637700
2019-10-08,113.879997,114.440002,112.800003,112.900002,112.900002,797800
2019-10-09,115.849998,116.739998,115.580002,116.050003,116.050003,1061600
2019-10-10,114.959999,116.160004,114.559998,115.250000,115.250000,1062100
2019-10-11,125.720001,127.900002,125.470001,126.199997,126.199997,2234300
2019-10-14,125.940002,126.559998,125.739998,126.050003,126.050003,877700
2019-10-15,125.830002,127.889999,125.470001,127.180000,127.180000,830900
2019-10-16,128.850006,129.279999,128.470001,128.720001,128.720001,1091500
2019-10-17,129.949997,130.119995,128.350006,128.600006,128.600006,972200
2019-10-18,129.779999,129.960007,127.949997,129.130005,129.130005,1655800
2019-10-21,132.979996,133.320007,131.270004,132.710007,132.710007,1210500
2019-10-22,133.309998,133.979996,131.580002,131.800003,131.800003,1092200
2019-10-23,130.910004,131.839996,130.860001,131.660004,131.660004,709100
2019-10-24,131.470001,132.179993,131.389999,131.789993,131.789993,809400
2019-10-25,131.350006,132.229996,130.949997,131.869995,131.869995,569200
2019-10-28,132.570007,133.190002,132.380005,132.770004,132.770004,440900
2019-10-29,131.850006,132.429993,131.660004,131.740005,131.740005,513800
2019-10-30,132.259995,133.500000,131.179993,133.229996,133.229996,485100
2019-10-31,132.729996,133.250000,132.250000,132.580002,132.580002,413800
2019-11-01,133.929993,134.259995,133.300003,133.690002,133.690002,1526900
2019-11-04,134.990005,135.229996,134.270004,134.470001,134.470001,468600
2019-11-05,133.570007,133.720001,132.660004,133.559998,133.559998,486100
2019-11-06,134.860001,135.220001,134.389999,135.110001,135.110001,457600
2019-11-07,134.699997,135.690002,134.619995,135.080002,135.080002,269200
2019-11-08,135.389999,136.440002,135.110001,136.440002,136.440002,327000
