Crime_Type,1/1/2009,1/1/2010,1/1/2011,1/1/2012,1/1/2013,1/1/2014,1/1/2015,1/1/2016,1/1/2017,1/1/2018
Property Crimes,1006788,981523,974666,1048764,1018333,946682,1023828,1001380,986769,940998
Violent Crimes,174579,163957,155313,160629,151634,151425,166588,174701,178553,176866
