,Unnamed: 0,Unnamed: 0.1,id,text,URL,createdTimestamp,quoteCount,replyCount,retweetCount,favoriteCount,isInReplyTouser_id,userLocation,userFollowersCount,userFriendsCount,lang,isRelated,source,sourceDate,NP,isInReplyTo,user_id,vader_compound,vader_sentiment,tb_polarity,tb_sentiment
213,255,255,5dae74f611bb5a25b06906f2,"The Board of 
has TOTALLY lost it.
New CEO will run
very troubled, enormous
 enterprise
157,192,192,5dae74cf11bb5a25b06906b3,"RT josephjett ""New Wells Fargo CEO Charles Scharf is About to Tackle the Toughest Job in BankingÃ¢ÂÂ¦ ",https://t.co/PLNLUTzcAR,9/28/2019 15:53,0,0,0,0,,czech,2402,829,en,Y,WF,9/28/2019,,0,1402975106,0.1779,E,0.136363636,E
184,220,220,5dae74d011bb5a25b06906cf,.@WellsFargo has tapped  chairman and chief executive Charles Scharf for its top job.Ã¢ÂÂ¦ ,https://t.co/ZFAolF1e0O,9/28/2019 13:36,0,0,0,0,,"New York, NY",2023,1803,en,Y,WF,9/28/2019,,0,4438111227,0.2023,E,0.5,P
296,353,353,5dae751911bb5a25b0690754,Financialadvisoriq - Can New Wells Fargo CEO Put the Wind At Advisors' Backs Instead of in Their Faces? ,,9/30/2019 18:05,0,0,0,0,,"Charlotte, NC",105,114,en,Y,WF,9/30/2019,,0,264699601,0.2023,E,0.136363636,E
123,157,157,5dae74cc11bb5a25b0690690,"Scandal-tainted bank will give new CEO 40% pay increase,  rpts: ",https://t.co/qwkHVwVRqP,9/28/2019 19:04,0,0,0,0,,"Washington, D.C.",3952,115,en,Y,WF,9/28/2019,,0,36246939,0.2263,E,0.136363636,E
146,181,181,5dae74ce11bb5a25b06906a8,Scandal-tainted bank will give their new CEO a 40% pay increase  ,https://t.co/tk1vNSFMyS,9/28/2019 16:40,0,0,0,0,,Tri State Area,80,239,en,Y,WF,9/28/2019,N,0,28044958,0.2263,E,0.136363636,E
170,206,206,5dae74cf11bb5a25b06906c1,Scandal-tainted bank will give their new CEO a 40% pay increase  ,https://t.co/tk1vNSFMyS,9/28/2019 14:46,0,0,0,0,,,123,258,en,Y,WF,9/28/2019,N,0,3400452214,0.2263,E,0.136363636,E
171,207,207,5dae74d011bb5a25b06906c2,Scandal-tainted bank will give their new CEO a 40% pay increase  ,https://t.co/tk1vNSFMyS,9/28/2019 14:41,0,0,0,0,,"Fayetteville, NC",150,57,en,Y,WF,9/28/2019,N,0,49991134,0.2263,E,0.136363636,E
222,266,266,5dae74f611bb5a25b06906fd,Scandal-tainted bank will give their new CEO a 40% pay increase  ,https://t.co/tk1vNSFMyS,9/29/2019 14:01,0,0,0,0,,NYC/DC/Beijing ,153,482,en,Y,WF,9/29/2019,N,0,1.15E+18,0.2263,E,0.136363636,E
261,306,306,5dae74f911bb5a25b0690725,Scandal-tainted bank will give their new CEO a 40% pay increase  ,https://t.co/tk1vNSFMyS,9/29/2019 2:30,0,0,0,0,,,93,426,en,Y,WF,9/29/2019,N,0,1559218076,0.2263,E,0.136363636,E
224,268,268,5dae74f711bb5a25b06906ff,"Wells FargoÃ¢ÂÂs new CEO is from NYMellon, 1 fails they all will! Same playbook, letÃ¢ÂÂs do this! Buy $WFB$ shares and tÃ¢ÂÂ¦ ",https://t.co/XNiC9S5fep,9/29/2019 13:29,0,2,2,4,,"Florida, USA",2555,3030,en,Y,WF,9/29/2019,N,0,8.21E+17,0.2462,E,-0.162878788,E
205,247,247,5dae74f511bb5a25b06906ea,"Wells FargoÃ¢ÂÂs new CEO is from NYMellon, 1 fails they all will! Same playbook, letÃ¢ÂÂs do this! Buy $WFB$ shares and turn tÃ¢ÂÂ¦",,9/29/2019 19:46,0,0,0,0,,AMERICA USA,95019,105176,en,Y,WF,9/29/2019,N,0,3271255423,0.2462,E,-0.162878788,E
